Convergence_modifier,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Solver_noise,,,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1
Convergence_types,,,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating
Metric,Proposed_method,Nr_initial_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z_diff_relative,True,3,0.007344450572638075,0.0012136248242777144,6.037934449135932e-06,0.018398515179530242,0.00042404878092825723,0.009109385257772105,0.004882831143372158,0.024947351774369724,0.06558729518206155,1.4934194554555036,0.6307379596218261,,0.23557837275023533,1.0959840317530822,,0.006508428879679833,,,,2.489214183067975,9.720198033711764,7.5758023912739,7.647003572124176,,9.720198033711764,4.186245328473967,9.720198033711764,,2.6451786744542938,,,5.314410157471492,9.720198033711764,,1.940365941640896,
z_diff_relative,False,3,1.682592586312108,0.003953918151196344,0.014264852364347868,1.682592586312108,0.007437341871855647,0.004511265946501848,1.682592586312108,0.00037760313131947175,0.04217868777923106,1.682592586312108,13.77982648341772,1.682592586312108,0.6439285241107228,13.893943444506519,1.682592586312108,1.682592586312108,12.925830324060886,1.682592586312108,4.501657734967264,4.163997862311357,9.720198033711764,0.24556418741612526,0.04129622043666404,8.095157645199398,8.423156822736678,13.893943444506519,3.613570468797579,2.342956832449893,3.6249960986013416,7.664142016829819,2.362324668336759,13.893943444506519,1.5889117110511775,2.362324668336759,4.710152256061126,9.720198033711764
x_dist_euclidian,True,1,0.010751927821022744,0.06241034147643471,0.01960779554117371,0.5191554848429263,0.3097324534394542,0.44414558146647637,0.8945431186298414,0.1819692024173431,0.12234198547059134,,1.420385510257086,0.9718567823100416,0.6799427829824654,2.337759781929131,,0.6108829530380534,0.9928888240255935,0.9567102561536533,6.936670292792174,0.15542271547253267,,10.033570115507972,12.566071310038424,10.297055764520668,6.936670292792174,10.266895687424778,9.970592520656737,10.97461973203384,10.827860627627325,,10.97461973203384,10.827860627627325,,10.97461973203384,,10.450883639916231
x_dist_euclidian,True,3,0.1901310811893189,0.06371246912657039,0.007316515706077355,0.2836692381694182,0.04472550884552138,0.04169967780015125,0.030841284274056028,0.34389067957671293,0.49308229864811054,0.8740339687392049,1.6160032711041608,,0.9070106888990261,0.4777128358156961,,0.16737526012983905,,,,12.634438913273714,6.936670292792174,6.195256037004456,6.1885890394880105,,6.936670292792174,13.94124467453514,6.936670292792174,,2.496632547519661,,,13.586065282942469,6.936670292792174,,12.004289436014519,
x_dist_euclidian,False,3,1.0198077524140101,0.1337725746293259,0.25920943012230874,1.0198077524140101,0.18559376264150612,0.14912324488770035,1.0198077524140101,0.042568190402000265,0.11434775493373191,1.0198077524140101,14.437217761149196,1.0198077524140101,1.812432110889245,2.045338358533938,1.0198077524140101,1.0198077524140101,17.98252449840404,1.0198077524140101,9.165140980931882,10.672896212081108,6.936670292792174,0.4894501262966717,0.3151596041989309,7.727803581107315,6.598041441572395,2.045338358533938,9.771190580351814,10.920244523334969,2.3789722215858498,2.7523969599864992,10.97461973203384,2.045338358533938,2.833331744761019,10.97461973203384,3.09942485110253,6.936670292792174
RMSE_low,True,1,84.16782136883012,87.07479199130152,116.18910793910558,83.99134707446974,87.13386897374033,116.06399056682515,83.99403733454506,87.1302261972047,116.07459811160653,,118.84029874086129,197.20203428220026,148.46387962032966,125.35917170060665,,147.8076064093279,112.14632641243229,197.2973324483719,104.57100504857065,105.3801061744212,,118.00036179516641,457.03471866907904,119.88653886971261,133.85516870522318,426.62167560345137,112.63056958029996,100.18902707225283,119.18363203190307,,111.09414785424806,119.11642722816816,,100.95943526891854,,103.68288894514562
RMSE_low,True,3,79.47846008727046,86.87212223869231,111.27212394632242,79.84193025486829,86.82728873904131,110.8906752239796,79.59441355180881,86.96461709696786,111.41295519314706,115.12426610311643,106.23081785761198,,110.26425382603529,136.56812047541084,,117.6265621802265,,,,119.89718387317448,140.7185991854097,131.20745318330407,127.14105544632412,,157.15511861108072,536.6429451852048,140.9855077480243,,108.92749415057663,,,117.64208489233233,145.77012890466756,,119.41144618369918,
RMSE_low,False,3,79.47842095548049,86.87212137180134,111.27213012089136,79.44978129740157,86.86508361674619,111.64902812526526,79.78884497811218,86.95161138364841,111.65287109412853,151.57579399984874,127.73953356260493,154.194359088246,107.75936705455497,135.6640566636966,199.90167219842138,149.5846087006369,128.81984412834353,108.49402175461158,123.17765693881869,102.20217764205916,140.71858571011077,148.61425075124578,174.0562315363267,126.54575809842058,166.5899585611521,87.15386236353858,142.87947807486242,118.30741998451632,118.30978005982529,137.82340196592472,143.95993162287806,116.83884716528561,156.1416993851484,121.80944211688829,112.45031723671732,863.3523525847635
RMSE,True,1,0.00010942678867731057,0.00010181458734139977,0.00014097011147335626,1.5532849980632069,0.631000368215765,0.7629380885612297,1.5212227258501259,0.5064430866239411,0.7963034853627059,,30.586650398856495,182.47079615705837,5.746813026598104,11.992011907348125,,111.23246311726656,11.720046603860572,2.5722298706916056,152.92094179086925,21.59248898525943,,125.07047034941817,500.4578525003206,55.588606623477396,97.69940304658611,514.9364989388293,50.10201505669843,61.94899424838127,93.32358807778404,,100.88174160823216,94.39820277812039,,84.5267534162474,,102.03072595437938
RMSE,True,3,9.369321556764659e-05,0.00010230276804514883,0.0001323882476063101,2.7563467528517527,1.109410422908618,0.906431289092408,1.829951478732761,0.77288555721824,0.9519243157688861,103.9956453531519,85.46329553703222,,88.28471684232052,47.89134703520061,,92.7285640686467,,,,38.07708167259403,127.07642676469631,113.28472230146163,83.4569712016907,,55.311263806468425,451.2897088238931,126.99823021255041,,50.88384914973416,,,44.800803029806424,56.01151143701742,,31.444656604598904,
RMSE,False,3,0.0009939473918986334,0.015006339776996029,0.0709915944637993,3.7353913320163077,0.5814745162881095,2.9811176230786276,3.6025804920616005,8.202610647110085,0.9860606197698711,66.94581475255045,115.07792727126616,53.5021052645748,37.25834227464121,116.43824418222007,134.5054941458835,65.6048622339893,115.47113164235509,54.815150387056434,55.71112197147433,98.13003213029245,122.20691244153834,107.19195446274,18.061799462286388,141.17219431274256,326.0571092415384,136.7200400058204,90.08892299205179,122.26684394502664,71.84434631502297,56.88601580478544,156.99932553434152,108.18810145924638,76.73626726303758,109.71667612296325,79.7326648726036,128.85762581638605
RMSE_focus_low,True,1,97.3689396856057,102.68034324747993,124.62538452314865,98.05779656667174,101.72643176533107,124.79819754452224,97.90159788569274,102.28447356251581,123.60660662101228,,116.9631747321567,151.49734301036787,120.88974203489776,89.67781247869246,,157.2532181630587,64.98503838218531,142.97218799743257,81.54740289328208,87.89882909847414,,113.79320532589908,187.93395454449092,124.51083049922661,160.42295297275004,288.72910573889766,123.54162606367139,123.0140804455551,167.22879520323502,,125.98618993877506,100.01359603163202,,108.32129685370198,,167.21619746319658
RMSE_focus_low,True,3,97.58742959098016,102.63987290099375,124.61993330175156,98.51051166003252,104.07120783598589,124.48038038480864,98.25503325578268,103.37469583055054,125.4638587546018,106.53218509590877,47.59244681555863,,128.63127631004335,87.89492176311643,,100.81710941558973,,,,88.17644963046226,110.07501282927896,197.02297421578942,19.066715285862085,,175.15569011697752,97.34999263094461,115.5027956208721,,77.16780631970758,,,84.46644707952103,153.18396340839206,,91.42614491015048,
RMSE_focus_low,False,3,96.96962757921142,102.54338243850054,124.60177284445619,95.6409852564161,103.37912330439555,125.2260904717165,96.43315577352882,103.35722955700297,124.50705358818122,137.41294323761133,41.64057875837398,92.13999755142673,118.84854073329035,84.07043726079625,139.50878804068128,137.7165804000782,59.56030838050814,119.67723126605952,118.8808249007164,66.81782331621964,107.08271451562688,110.47817657089585,167.39438414674927,146.47550985763158,652.0171168563796,55.9204195563949,108.72314379978695,132.22065800102752,102.71508947100004,152.8510273896634,156.41490347297292,98.56996044061414,185.50459628608098,188.8997429933384,99.78308751716253,195.4698915526762
RMSE_focus,True,1,2.54732112201511,3.1962795841078306,0.4504323258556804,3.967567094053373,16.611558356544062,1.9488853350252497,4.524690625057855,10.905570759635458,5.734621489722734,,29.22049540294912,123.8512526894701,15.741754202006897,21.19942783983499,,92.76603549485436,16.586713265515268,16.686473299923836,122.51949022472853,50.885431675777824,,90.45183363507932,230.2301681740331,74.27047163188716,92.58484462780348,346.62596491702897,70.07873532762707,93.71277140393192,106.69123944666684,,107.33269046493638,111.27709303675645,,98.97675229805945,,175.55272053182463
RMSE_focus,True,3,2.5687560414938884,3.0296660955496852,0.45284648756592405,4.723672389029594,4.0325860281190105,1.2221394997196235,5.382799930848552,3.940864901930612,2.7833529793257474,87.53552029266584,31.046764536550846,,104.9851185861723,45.362499934372586,,96.98456271275707,,,,32.979660198683796,96.26901086562255,165.79205465115837,43.2956601786647,,57.40798040568811,93.49203831901856,92.27019520220973,,49.91752085354229,,,46.3110181691561,76.05073194917695,,24.251355346962587,
RMSE_focus,False,3,3.7595668985183184,7.227030908109277,0.2917496676071891,12.114719178974916,2.653949210966555,4.532676395616182,10.115559065702964,5.267616513780586,4.0520233068098666,38.253592844691944,156.71540316590747,56.202710160554275,19.54645076608247,171.42768334855302,73.27511075010703,35.54145452215096,178.137734458887,45.142746099550884,70.57033102315702,142.72355689669496,146.56282757044528,97.56861974758218,5.105479115835159,187.65223641447741,417.3086199279249,193.57260489193328,79.66716993107703,133.5255128934034,54.3758337586784,40.63156773864687,180.2526736930289,129.8287839718019,64.70323874425536,191.598918772419,50.70837914260779,176.5168024783199
